2024-06-16 20:37:16.721 WARN Main : WARN
2024-06-16 20:37:16.732 ERROR Main : ERROR
2024-06-16 20:37:16.733 FATAL Main : FATAL
2024-06-16 20:37:16.742 WARN Main : waiting for link to connect
2024-06-16 20:37:17.284 INFO osc.OscSynced : creating synced value for /sprite_FX/label/68
2024-06-16 20:37:17.283 INFO osc.OscSynced : creating synced value for /sprite_FX/label/65
2024-06-16 20:37:17.283 INFO osc.OscSynced : creating synced value for /sprite_FX/label/66
2024-06-16 20:37:17.283 INFO osc.OscSynced : creating synced value for /sprite_FX/label/64
2024-06-16 20:37:17.284 INFO osc.OscSynced : creating synced value for /sprite_FX/label/69
2024-06-16 20:37:17.284 INFO osc.OscSynced : creating synced value for /sprite_FX/label/70
2024-06-16 20:37:17.284 INFO osc.OscSynced : creating synced value for /sprite_FX/label/71
2024-06-16 20:37:17.284 INFO osc.OscSynced : creating synced value for /sprite_FX/label/72
2024-06-16 20:37:17.284 INFO osc.OscSynced : creating synced value for /sprite_FX/label/73
2024-06-16 20:37:17.284 INFO osc.OscSynced : creating synced value for /sprite_FX/label/74
2024-06-16 20:37:17.284 INFO osc.OscSynced : creating synced value for /sprite_FX/label/75
2024-06-16 20:37:17.284 INFO osc.OscSynced : creating synced value for /sprite_FX/label/76
2024-06-16 20:37:17.285 INFO osc.OscSynced : creating synced value for /sprite_FX/label/78
2024-06-16 20:37:17.284 INFO osc.OscSynced : creating synced value for /sprite_FX/label/77
2024-06-16 20:37:17.285 INFO osc.OscSynced : creating synced value for /sprite_FX/label/79
2024-06-16 20:37:17.285 INFO osc.OscSynced : creating synced value for /sprite_FX/label/80
2024-06-16 20:37:17.285 INFO osc.OscSynced : creating synced value for /sprite_FX/label/81
2024-06-16 20:37:17.285 INFO osc.OscSynced : creating synced value for /sprite_FX/label/82
2024-06-16 20:37:17.285 INFO osc.OscSynced : creating synced value for /sprite_FX/label/83
2024-06-16 20:37:17.285 INFO osc.OscSynced : creating synced value for /sprite_FX/label/85
2024-06-16 20:37:17.285 INFO osc.OscSynced : creating synced value for /sprite_FX/label/84
2024-06-16 20:37:17.286 INFO osc.OscSynced : creating synced value for /sprite_FX/label/86
2024-06-16 20:37:17.286 INFO osc.OscSynced : creating synced value for /sprite_FX/label/87
2024-06-16 20:37:17.288 INFO osc.OscSynced : creating synced value for /sprite_FX/label/88
2024-06-16 20:37:17.288 INFO osc.OscSynced : creating synced value for /sprite_FX/label/89
2024-06-16 20:37:17.289 INFO osc.OscSynced : creating synced value for /sprite_FX/label/90
2024-06-16 20:37:17.289 INFO osc.OscSynced : creating synced value for /sprite_FX/label/91
2024-06-16 20:37:17.289 INFO osc.OscSynced : creating synced value for /sprite_FX/label/92
2024-06-16 20:37:17.289 INFO osc.OscSynced : creating synced value for /sprite_FX/label/93
2024-06-16 20:37:17.290 INFO osc.OscSynced : creating synced value for /sprite_FX/label/94
2024-06-16 20:37:17.290 INFO osc.OscSynced : creating synced value for /sprite_FX/label/95
2024-06-16 20:37:17.290 INFO osc.OscSynced : creating synced value for /sprite_FX/label/96
2024-06-16 20:37:17.290 INFO osc.OscSynced : creating synced value for /sprite_FX/label/97
2024-06-16 20:37:17.290 INFO osc.OscSynced : creating synced value for /sprite_FX/label/98
2024-06-16 20:37:17.290 INFO osc.OscSynced : creating synced value for /sprite_FX/label/99
2024-06-16 20:37:17.352 INFO osc.OscSynced : creating synced value for /composition/groups/1/video/effects/motionextraction/bypassed
