2024-06-16 20:35:57.743 WARN Main : WARN
2024-06-16 20:35:57.755 ERROR Main : ERROR
2024-06-16 20:35:57.756 FATAL Main : FATAL
2024-06-16 20:35:57.766 WARN Main : waiting for link to connect
2024-06-16 20:35:57.764 INFO osc.OscSynced : creating synced value for /linkConnected
2024-06-16 20:35:57.765 INFO osc.OscSynced : creating synced value for /bpm
2024-06-16 20:35:57.765 INFO osc.OscSynced : creating synced value for /peers
2024-06-16 20:35:57.859 INFO Link : connecting to ableton link...
2024-06-16 20:35:58.289 INFO osc.OscSynced : creating synced value for /sprite_FX/label/1
2024-06-16 20:35:58.289 INFO osc.OscSynced : creating synced value for /sprite_FX/label/0
2024-06-16 20:35:58.289 INFO osc.OscSynced : creating synced value for /sprite_FX/label/3
2024-06-16 20:35:58.289 INFO osc.OscSynced : creating synced value for /sprite_FX/label/2
2024-06-16 20:35:58.289 INFO osc.OscSynced : creating synced value for /sprite_FX/label/5
2024-06-16 20:35:58.289 INFO osc.OscSynced : creating synced value for /sprite_FX/label/4
2024-06-16 20:35:58.289 INFO osc.OscSynced : creating synced value for /sprite_FX/label/6
2024-06-16 20:35:58.289 INFO osc.OscSynced : creating synced value for /sprite_FX/label/8
2024-06-16 20:35:58.289 INFO osc.OscSynced : creating synced value for /sprite_FX/label/7
2024-06-16 20:35:58.289 INFO osc.OscSynced : creating synced value for /sprite_FX/label/9
2024-06-16 20:35:58.289 INFO osc.OscSynced : creating synced value for /sprite_FX/label/11
2024-06-16 20:35:58.289 INFO osc.OscSynced : creating synced value for /sprite_FX/label/10
2024-06-16 20:35:58.289 INFO osc.OscSynced : creating synced value for /sprite_FX/label/12
2024-06-16 20:35:58.289 INFO osc.OscSynced : creating synced value for /sprite_FX/label/13
2024-06-16 20:35:58.290 INFO osc.OscSynced : creating synced value for /sprite_FX/label/14
2024-06-16 20:35:58.291 INFO osc.OscSynced : creating synced value for /sprite_FX/label/15
2024-06-16 20:35:58.291 INFO osc.OscSynced : creating synced value for /sprite_FX/label/17
2024-06-16 20:35:58.291 INFO osc.OscSynced : creating synced value for /sprite_FX/label/16
2024-06-16 20:35:58.291 INFO osc.OscSynced : creating synced value for /sprite_FX/label/18
2024-06-16 20:35:58.291 INFO osc.OscSynced : creating synced value for /sprite_FX/label/19
2024-06-16 20:35:58.295 INFO osc.OscSynced : creating synced value for /sprite_FX/label/20
2024-06-16 20:35:58.297 INFO osc.OscSynced : creating synced value for /sprite_FX/label/21
2024-06-16 20:35:58.297 INFO osc.OscSynced : creating synced value for /sprite_FX/label/22
2024-06-16 20:35:58.297 INFO osc.OscSynced : creating synced value for /sprite_FX/label/23
2024-06-16 20:35:58.297 INFO osc.OscSynced : creating synced value for /sprite_FX/label/26
2024-06-16 20:35:58.297 INFO osc.OscSynced : creating synced value for /sprite_FX/label/27
2024-06-16 20:35:58.297 INFO osc.OscSynced : creating synced value for /sprite_FX/label/24
2024-06-16 20:35:58.297 INFO osc.OscSynced : creating synced value for /sprite_FX/label/25
2024-06-16 20:35:58.297 INFO osc.OscSynced : creating synced value for /sprite_FX/label/28
2024-06-16 20:35:58.302 INFO osc.OscSynced : creating synced value for /sprite_FX/label/30
2024-06-16 20:35:58.302 INFO osc.OscSynced : creating synced value for /sprite_FX/label/29
2024-06-16 20:35:58.302 INFO osc.OscSynced : creating synced value for /sprite_FX/label/31
2024-06-16 20:35:58.302 INFO osc.OscSynced : creating synced value for /sprite_FX/label/32
2024-06-16 20:35:58.302 INFO osc.OscSynced : creating synced value for /sprite_FX/label/33
2024-06-16 20:35:58.302 INFO osc.OscSynced : creating synced value for /sprite_FX/label/34
2024-06-16 20:35:58.302 INFO osc.OscSynced : creating synced value for /sprite_FX/label/36
2024-06-16 20:35:58.302 INFO osc.OscSynced : creating synced value for /sprite_FX/label/35
2024-06-16 20:35:58.303 INFO osc.OscSynced : creating synced value for /sprite_FX/label/37
